DATE,STATION,NAME,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MLY-PRCP-NORMAL,MLY-TAVG-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-75PCTL,MONTH
1,USW00094290,"SEATTLE SAND PT WSFO, WA US",27.0,3.0,-7777.0,709.0,959.0,1000.0,2.3,4.81,42.1,3.29,6.07,Jan
2,USW00094290,"SEATTLE SAND PT WSFO, WA US",31.0,3.0,-7777.0,616.0,917.0,1000.0,2.6,3.31,43.4,2.09,4.44,Feb
3,USW00094290,"SEATTLE SAND PT WSFO, WA US",81.0,16.0,2.0,152.0,670.0,986.0,1.8,3.51,46.6,2.60,3.93,Mar
4,USW00094290,"SEATTLE SAND PT WSFO, WA US",169.0,58.0,12.0,0.0,114.0,711.0,1.5,2.77,50.5,2.10,2.94,Apr
5,USW00094290,"SEATTLE SAND PT WSFO, WA US",343.0,193.0,78.0,0.0,0.0,58.0,1.9,2.16,56.0,1.34,2.91,May
6,USW00094290,"SEATTLE SAND PT WSFO, WA US",480.0,330.0,184.0,0.0,0.0,0.0,1.2,1.63,61.0,1.04,2.25,Jun
7,USW00094290,"SEATTLE SAND PT WSFO, WA US",648.0,493.0,338.0,0.0,0.0,0.0,1.2,0.79,65.9,0.30,1.10,Jul
8,USW00094290,"SEATTLE SAND PT WSFO, WA US",668.0,513.0,358.0,0.0,0.0,0.0,1.3,0.97,66.5,0.33,1.24,Aug
9,USW00094290,"SEATTLE SAND PT WSFO, WA US",498.0,348.0,202.0,0.0,0.0,0.0,1.5,1.52,61.6,0.64,2.06,Sep
10,USW00094290,"SEATTLE SAND PT WSFO, WA US",260.0,123.0,35.0,2.0,58.0,349.0,1.8,3.41,53.3,2.03,4.41,Oct
11,USW00094290,"SEATTLE SAND PT WSFO, WA US",78.0,18.0,2.0,224.0,566.0,960.0,3.0,5.84,46.2,4.53,7.17,Nov
12,USW00094290,"SEATTLE SAND PT WSFO, WA US",18.0,1.0,-7777.0,729.0,980.0,1000.0,2.3,5.43,41.1,3.94,6.97,Dec
